bd_district,VALUES1,VALUES2
Dhaka,-45.0, 66.0
Faridpur,-83.0, -33.0
Gazipur,-33.0, 107.0
Gopalganj,-69.0, -69.0
Jamalpur,-82.0, 205.0
Kishoreganj,72.0, 123.0
Madaripur,-13.0, -45.0
Manikganj,-65.0, 66.0
Munshiganj,-3.0, 25.0
Mymensingh,8.0, 163.0
Narayanganj,59.0, 76.0
Narsingdi,47.0, 77.0
Netrokona,60.0, 206.0
Rajbari,-119.0, 36.0
Shariatpur,-23.0, 19.0
Sherpur,-31.0, 212.0
Tangail,-64.0, 120.0
Bogra,-145.0, 188.0
Joypurhat,-179.0, 221.0
Naogaon,-250.0, 216.0
Natore,-197.0, 120.0
Nawabganj,-333.0, 151.0
Pabna,-109.0, 88.0
Rajshahi,-264.0, 126.0
Sirajgonj,-126.0 143.0
Dinajpur,-243.0, 311.0
Gaibandha,-106.0, 273.0
Kurigram,-105.0, 344.0
Lalmonirhat,-195.0 385.0
Nilphamari,-240.0 361.0
Panchagarh,-273.0 406.0
Rangpur,-154.0, 323.0
Thakurgaon,-282.0, 351.0
Barguna,-53.0, -218.0
Barisal,-10.0, -92.0
Bhola,51.0, -226.0
Jhalokati,-54.0, -128.0
Patuakhali,2.0, -207.0
Pirojpur,-104.0, -219.0
Bandarban,296.0, -217.0
Brahmanbaria,79.0, 67.0
Chandpur,41.0, -1.0
Chittagong,199.0, -199.0
Comilla,82.0, 15.0
CoxBazar,231.0, -285.0
Feni,135.0, -111.0
Khagrachari,225.0, -63.0
Lakshmipur,44.0, -43.0
Noakhali,58.0, -95.0
Rangamati,277.0, -128.0
Habiganj,135.0, 127.0
Maulvibazar,202.0, 115.0
Sunamganj,127.0, 195.0
Sylhet,238.0, 202.0
Bagerhat,-83.0, -172.0
Chuadanga,-213.0, -16.0
Jessore,-171.0, -68.0
Jhenaidah,-207.0, -51.0
Khulna,-142.0, -177.0
Kushtia,-190.0, 56.0
Magura,-137.0, -42.0
Meherpur,-250.0, 16.0
Narail,-118.0, -66.0
Satkhira,-189.0, -172.0
